attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
87,53,2894,7458,8427,7177,5774,4678,1643,127763,L,10195.666666666666,10138.217414005097,21771.0,2894.0,18877.0,9014.666666666666,1514.433337354534,10483.0,7458.0,3025.0,4205.666666666667,3949.6539510862685,8427.0,600.0,7827.0,4797.333333333333,2170.2972914633856,7177.0,2927.0,4250.0,4518.333333333333,1215.6958227014097,5774.0,3347.0,2427.0,4114.666666666667,849.9554890306354,4678.0,3137.0,1541.0,1723.3333333333333,123.05418860540625,1865.0,1643.0,222.0,141403.66666666666,11883.172317749673,149512.0,127763.0,21749.0
81,51,5022,9624,3088,3917,5956,3195,1242,131506,L,9895.666666666666,10339.233643439746,21771.0,2894.0,18877.0,9188.333333333334,1558.849041213046,10483.0,7458.0,3025.0,5035.0,2948.2620304169186,8427.0,3088.0,5339.0,5127.333333333333,1784.7297647916644,7177.0,3917.0,3260.0,5025.666666666667,1456.6133094729191,5956.0,3347.0,2609.0,3670.0,873.4351721793495,4678.0,3137.0,1541.0,1583.3333333333333,315.75676292572916,1865.0,1242.0,623.0,135401.66666666666,10162.831610005747,146936.0,127763.0,19173.0
75,67,5154,7413,5409,7416,2431,3707,3973,133529,L,4356.666666666667,1268.424744964492,5154.0,2894.0,2260.0,8165.0,1263.731379667871,9624.0,7413.0,2211.0,5641.333333333333,2677.0719701441476,8427.0,3088.0,5339.0,6170.0,1954.8112440847017,7416.0,3917.0,3499.0,4720.333333333333,1984.7081229575433,5956.0,2431.0,3525.0,3860.0,753.2456438639199,4678.0,3195.0,1483.0,2286.0,1474.6786090535118,3973.0,1242.0,2731.0,130932.66666666667,2925.4439549121225,133529.0,127763.0,5766.0
80,69,6013,3776,3933,2165,4275,2586,3842,151482,L,5396.333333333333,538.1118226148493,6013.0,5022.0,991.0,6937.666666666667,2952.834626810365,9624.0,3776.0,5848.0,4143.333333333333,1174.7086163518866,5409.0,3088.0,2321.0,4499.333333333333,2673.496649209291,7416.0,2165.0,5251.0,4220.666666666667,1763.127996866269,5956.0,2431.0,3525.0,3162.6666666666665,561.1990140166852,3707.0,2586.0,1121.0,3019.0,1540.320421211119,3973.0,1242.0,2731.0,138839.0,10995.781873063805,151482.0,131506.0,19976.0
75,77,6603,2588,12577,936,3673,2020,1577,137550,L,5923.333333333333,728.6496645423582,6603.0,5154.0,1449.0,4592.333333333333,2513.9523331379537,7413.0,2588.0,4825.0,7306.333333333333,4623.806801038683,12577.0,3933.0,8644.0,3505.6666666666665,3441.7496035204686,7416.0,936.0,6480.0,3459.6666666666665,940.328311460244,4275.0,2431.0,1844.0,2771.0,858.5808057486281,3707.0,2020.0,1687.0,3130.6666666666665,1347.1081372084918,3973.0,1577.0,2396.0,140853.66666666666,9421.423052455073,151482.0,133529.0,17953.0
83,75,9092,5652,3206,656,2816,4188,3376,139035,L,7236.0,1634.1900135247124,9092.0,6013.0,3079.0,4005.3333333333335,1544.8201621190808,5652.0,2588.0,3064.0,6572.0,5213.170916054662,12577.0,3206.0,9371.0,1252.3333333333333,802.6956666964716,2165.0,656.0,1509.0,3588.0,733.2046099148166,4275.0,2816.0,1459.0,2931.3333333333335,1124.4987031265525,4188.0,2020.0,2168.0,2931.6666666666665,1196.0896008800232,3842.0,1577.0,2265.0,142689.0,7651.074630403144,151482.0,137550.0,13932.0
81,78,4677,3148,7126,5838,3464,2705,1535,152493,L,6790.666666666667,2213.4747194484485,9092.0,4677.0,4415.0,3796.0,1631.5489572661438,5652.0,2588.0,3064.0,7636.333333333333,4706.297943536045,12577.0,3206.0,9371.0,2476.6666666666665,2914.3646534593604,5838.0,656.0,5182.0,3317.6666666666665,446.8471028592171,3673.0,2816.0,857.0,2971.0,1108.2071106070225,4188.0,2020.0,2168.0,2162.6666666666665,1050.9873135929543,3376.0,1535.0,1841.0,143026.0,8232.21555840216,152493.0,137550.0,14943.0
83,83,4142,5155,3595,4690,2478,3909,2153,129703,L,5970.333333333333,2716.644682993651,9092.0,4142.0,4950.0,4651.666666666667,1325.712009936462,5652.0,3148.0,2504.0,4642.333333333333,2159.6945000002656,7126.0,3206.0,3920.0,3728.0,2721.647295297458,5838.0,656.0,5182.0,2919.3333333333335,501.0562177377719,3464.0,2478.0,986.0,3600.6666666666665,788.1144163973296,4188.0,2705.0,1483.0,2354.6666666666665,936.9217327681829,3376.0,1535.0,1841.0,140410.33333333334,11457.079965389612,152493.0,129703.0,22790.0
83,77,5559,6618,5421,2847,1848,2063,1363,146623,L,4792.666666666667,715.5461785504019,5559.0,4142.0,1417.0,4973.666666666667,1742.092515709154,6618.0,3148.0,3470.0,5380.666666666667,1765.8455009800398,7126.0,3595.0,3531.0,4458.333333333333,1508.8977212963455,5838.0,2847.0,2991.0,2596.6666666666665,814.5092592068468,3464.0,1848.0,1616.0,2892.3333333333335,937.1495789538072,3909.0,2063.0,1846.0,1683.6666666666667,415.4531662333745,2153.0,1363.0,790.0,142939.66666666666,11833.056804280626,152493.0,129703.0,22790.0
66,84,4557,12612,9383,5283,7609,2178,1275,145012,L,4752.666666666667,728.4822123004086,5559.0,4142.0,1417.0,8128.333333333333,3951.270976950402,12612.0,5155.0,7457.0,6133.0,2958.959952415403,9383.0,3595.0,5788.0,4273.333333333333,1270.327648023652,5283.0,2847.0,2436.0,3978.3333333333335,3159.988976774075,7609.0,1848.0,5761.0,2716.6666666666665,1034.1906658509815,3909.0,2063.0,1846.0,1597.0,483.51628721275017,2153.0,1275.0,878.0,140446.0,9338.515246012003,146623.0,129703.0,16920.0
