attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
63,57,1418043,630135,162121,167835,13764,265062,9944,1380609,N,734363.6666666666,634158.1516343799,1418043.0,165382.0,1252661.0,277933.0,314631.9937117021,630135.0,24640.0,605495.0,61930.0,87379.2204531489,162121.0,1517.0,160604.0,222820.66666666666,179273.49602306896,423147.0,77480.0,345667.0,8523.666666666666,6533.798308283887,13764.0,1203.0,12561.0,162275.33333333334,108181.5403030172,265062.0,49405.0,215657.0,4313.333333333333,4901.6639351686845,9944.0,1000.0,8944.0,822700.6666666666,583856.4071536196,1380609.0,215963.0,1164646.0
80,66,528050,240878,6885,132817,2504,118300,4229,509565,N,703825.0,644563.8317490362,1418043.0,165382.0,1252661.0,298551.0,306839.82784671313,630135.0,24640.0,605495.0,56841.0,91214.65154239199,162121.0,1517.0,160604.0,126044.0,45556.68615033326,167835.0,77480.0,90355.0,5823.666666666667,6907.229570047126,13764.0,1203.0,12561.0,144255.66666666666,110146.52916153707,265062.0,49405.0,215657.0,5057.666666666667,4529.2163045424695,9944.0,1000.0,8944.0,702045.6666666666,605711.7149348635,1380609.0,215963.0,1164646.0
78,70,55248,73282,9552,27740,433,31687,584,137877,N,667113.6666666666,691958.510711685,1418043.0,55248.0,1362795.0,314765.0,285684.76066986937,630135.0,73282.0,556853.0,59519.333333333336,88865.65548249407,162121.0,6885.0,155236.0,109464.0,72908.67035545198,167835.0,27740.0,140095.0,5567.0,7173.936645942734,13764.0,433.0,13331.0,138349.66666666666,117972.30397993138,265062.0,31687.0,233375.0,4919.0,4717.9948071188055,9944.0,584.0,9360.0,676017.0,637867.8602845577,1380609.0,137877.0,1242732.0
94,77,96767,21587,1355,48679,902,37250,480,167536,N,226688.33333333334,261811.18662565426,528050.0,55248.0,472802.0,111915.66666666667,114636.62512623967,240878.0,21587.0,219291.0,5930.666666666667,4181.000637805577,9552.0,1355.0,8197.0,69745.33333333333,55615.97596314646,132817.0,27740.0,105077.0,1279.6666666666667,1085.9255652821876,2504.0,433.0,2071.0,62412.333333333336,48479.99800261274,118300.0,31687.0,86613.0,1764.3333333333333,2135.0972655439728,4229.0,480.0,3749.0,271659.3333333333,206565.34981533873,509565.0,137877.0,371688.0
90,75,453582,520595,4360,223110,2016,142470,1812,682263,N,201865.66666666666,218978.97431108123,453582.0,55248.0,398334.0,205154.66666666666,274399.428163278,520595.0,21587.0,499008.0,5089.0,4146.840122309681,9552.0,1355.0,8197.0,99843.0,107264.51135860341,223110.0,27740.0,195370.0,1117.0,813.1057741770786,2016.0,433.0,1583.0,70469.0,62416.70243612683,142470.0,31687.0,110783.0,958.6666666666666,740.8355643011133,1812.0,480.0,1332.0,329225.3333333333,306099.0193292577,682263.0,137877.0,544386.0
94,81,65106,23055,2281,48695,552,39026,597,175068,N,205151.66666666666,215728.59713151885,453582.0,65106.0,388476.0,188412.33333333334,287679.56441383524,520595.0,21587.0,499008.0,2665.3333333333335,1538.9250577370158,4360.0,1355.0,3005.0,106828.0,100703.16632062748,223110.0,48679.0,174431.0,1156.6666666666667,764.5033246058773,2016.0,552.0,1464.0,72915.33333333333,60242.65337228544,142470.0,37250.0,105220.0,963.0,737.5791482952969,1812.0,480.0,1332.0,341622.3333333333,295027.5082027662,682263.0,167536.0,514727.0
93,81,413511,333775,45683,146706,2540,152742,4223,695661,N,310733.0,213660.6856841001,453582.0,65106.0,388476.0,292475.0,251328.03345428972,520595.0,23055.0,497540.0,17441.333333333332,24480.080929877047,45683.0,2281.0,43402.0,139503.66666666666,87430.2765655771,223110.0,48695.0,174415.0,1702.6666666666667,1030.3733951017157,2540.0,552.0,1988.0,111412.66666666667,62898.733129796296,152742.0,39026.0,113716.0,2210.6666666666665,1845.5812995729418,4223.0,597.0,3626.0,517664.0,296772.45662796934,695661.0,175068.0,520593.0
77,69,888674,766925,31637,198086,1615,163256,6512,689768,N,455763.6666666667,413406.6140452196,888674.0,65106.0,823568.0,374585.0,373610.4071087963,766925.0,23055.0,743870.0,26533.666666666668,22146.47622836033,45683.0,2281.0,43402.0,131162.33333333334,75898.76086164583,198086.0,48695.0,149391.0,1569.0,994.7979694390735,2540.0,552.0,1988.0,118341.33333333333,68889.96752309681,163256.0,39026.0,124230.0,3777.3333333333335,2982.5778000470245,6512.0,597.0,5915.0,520165.6666666667,298877.8705697919,695661.0,175068.0,520593.0
69,67,533643,709960,136688,92331,3679,116758,1582,639570,N,611942.6666666666,247069.01362237468,888674.0,413511.0,475163.0,603553.3333333334,235364.6419034381,766925.0,333775.0,433150.0,71336.0,57030.56598877476,136688.0,31637.0,105051.0,145707.66666666666,52884.567771073875,198086.0,92331.0,105755.0,2611.3333333333335,1033.8473452756123,3679.0,1615.0,2064.0,144252.0,24383.930692158738,163256.0,116758.0,46498.0,4105.666666666667,2467.0934991064587,6512.0,1582.0,4930.0,674999.6666666666,30824.14349715611,695661.0,639570.0,56091.0
57,61,130084,471890,2779,198978,2540,124727,5277,625868,N,517467.0,379553.61183500785,888674.0,130084.0,758590.0,649591.6666666666,156507.71405376037,766925.0,471890.0,295035.0,57034.666666666664,70474.72010822978,136688.0,2779.0,133909.0,163131.66666666666,61316.797994785324,198978.0,92331.0,106647.0,2611.3333333333335,1033.8473452756123,3679.0,1615.0,2064.0,134913.66666666666,24866.486167798903,163256.0,116758.0,46498.0,4457.0,2565.2533987892925,6512.0,1582.0,4930.0,651735.3333333334,33642.220517279646,689768.0,625868.0,63900.0
