attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
54,100,148732,15031,5428,13642,3456,1965,659,175041,N,143062.0,99351.41959227326,239457.0,40997.0,198460.0,12118.666666666666,2717.7969632283252,15031.0,9650.0,5381.0,4145.0,1350.4158618736888,5428.0,2736.0,2692.0,7254.333333333333,5619.858034980355,13642.0,3070.0,10572.0,3072.0,2218.071459624336,5073.0,687.0,4386.0,1962.0,593.5056865776497,2554.0,1367.0,1187.0,999.6666666666666,726.5922744795284,1834.0,506.0,1328.0,277052.0,285984.83018684736,600055.0,56060.0,543995.0
37,100,69618,118009,25175,24055,5733,4539,3871,775613,N,86449.0,55804.74421588126,148732.0,40997.0,107735.0,47563.333333333336,61067.03492338017,118009.0,9650.0,108359.0,11113.0,12252.207923472404,25175.0,2736.0,22439.0,13589.0,10492.600392657674,24055.0,3070.0,20985.0,4754.0,1171.5387317541108,5733.0,3456.0,2277.0,3019.3333333333335,1348.6179345290275,4539.0,1965.0,2574.0,2121.3333333333335,1625.1634789562968,3871.0,659.0,3212.0,516903.0,308799.89171630226,775613.0,175041.0,600572.0
44,94,255632,34608,2470,23586,17782,7934,1941,866117,N,157994.0,93352.23903045892,255632.0,69618.0,186014.0,55882.666666666664,54686.15640482821,118009.0,15031.0,102978.0,11024.333333333334,12343.762243875783,25175.0,2470.0,22705.0,20427.666666666668,5881.236632999337,24055.0,13642.0,10413.0,8990.333333333334,7698.456620215076,17782.0,3456.0,14326.0,4812.666666666667,2993.8955114254304,7934.0,1965.0,5969.0,2157.0,1616.8574457879706,3871.0,659.0,3212.0,605590.3333333334,375602.5689865996,866117.0,175041.0,691076.0
26,93,1206914,138432,38400,14980,11910,4996,3632,830073,N,510721.3333333333,610052.0255595692,1206914.0,69618.0,1137296.0,97016.33333333333,55003.40702477742,138432.0,34608.0,103824.0,22015.0,18172.243257231617,38400.0,2470.0,35930.0,20873.666666666668,5109.449122296199,24055.0,14980.0,9075.0,11808.333333333334,6025.143345459369,17782.0,5733.0,12049.0,5823.0,1842.4041359050423,7934.0,4539.0,3395.0,3148.0,1052.10123087087,3871.0,1941.0,1930.0,823934.3333333334,45563.20802284882,866117.0,775613.0,90504.0
35,63,223182,63812,4045,4314,18631,8296,2613,852124,N,561909.3333333334,558826.0155373346,1206914.0,223182.0,983732.0,78950.66666666667,53541.94771703149,138432.0,34608.0,103824.0,14971.666666666666,20304.808748996707,38400.0,2470.0,35930.0,14293.333333333334,9654.332153667248,23586.0,4314.0,19272.0,16107.666666666666,3659.9869307599024,18631.0,11910.0,6721.0,7075.333333333333,1809.8290895367275,8296.0,4996.0,3300.0,2728.6666666666665,851.4131390419891,3632.0,1941.0,1691.0,849438.0,18171.500515919637,866117.0,830073.0,36044.0
38,50,233429,57422,2195,7259,1989,2688,637,208067,N,554508.3333333334,565023.1107453334,1206914.0,223182.0,983732.0,86555.33333333333,45039.97594729968,138432.0,57422.0,81010.0,14880.0,20389.909882096093,38400.0,2195.0,36205.0,8851.0,5508.33341401915,14980.0,4314.0,10666.0,10843.333333333334,8372.118867606536,18631.0,1989.0,16642.0,5326.666666666667,2818.5849877790342,8296.0,2688.0,5608.0,2294.0,1522.7695163746876,3632.0,637.0,2995.0,630088.0,365647.17280597147,852124.0,208067.0,644057.0
24,38,210678,182642,17579,16906,17663,8131,2721,913448,N,222429.66666666666,11394.143422531155,233429.0,210678.0,22751.0,101292.0,70523.57690871897,182642.0,57422.0,125220.0,7939.666666666667,8398.999067349228,17579.0,2195.0,15384.0,9493.0,6586.553195716245,16906.0,4314.0,12592.0,12761.0,9341.372704265685,18631.0,1989.0,16642.0,6371.666666666667,3191.2154946561254,8296.0,2688.0,5608.0,1990.3333333333333,1173.2643919140023,2721.0,637.0,2084.0,657879.6666666666,390754.05892240367,913448.0,208067.0,705381.0
30,47,281164,56589,28939,26359,14593,5405,2981,840818,N,241757.0,35973.403189021206,281164.0,210678.0,70486.0,98884.33333333333,72537.46284736828,182642.0,56589.0,126053.0,16237.666666666666,13422.360646821155,28939.0,2195.0,26744.0,16841.333333333332,9550.164204522,26359.0,7259.0,19100.0,11415.0,8306.222486786637,17663.0,1989.0,15674.0,5408.0,2721.50124012465,8131.0,2688.0,5443.0,2113.0,1284.8470726121454,2981.0,637.0,2344.0,654111.0,387988.6811196945,913448.0,208067.0,705381.0
23,78,577648,6918,17062,12194,9797,2173,2775,150300,N,356496.6666666667,194738.2941933436,577648.0,210678.0,366970.0,82049.66666666667,90586.50674539412,182642.0,6918.0,175724.0,21193.333333333332,6712.9230841216395,28939.0,17062.0,11877.0,18486.333333333332,7213.5217704900115,26359.0,12194.0,14165.0,14017.666666666666,3964.435058533978,17663.0,9797.0,7866.0,5236.333333333333,2982.5789735283356,8131.0,2173.0,5958.0,2825.6666666666665,137.20544206894027,2981.0,2721.0,260.0,634855.3333333334,421205.62973603915,913448.0,150300.0,763148.0
13,90,641182,73609,30119,2468,5061,1504,2863,623158,N,499998.0,192159.7823583279,641182.0,281164.0,360018.0,45705.333333333336,34652.02765111059,73609.0,6918.0,66691.0,25373.333333333332,7221.96623734376,30119.0,17062.0,13057.0,13673.666666666666,12014.034723328099,26359.0,2468.0,23891.0,9817.0,4766.031472829361,14593.0,5061.0,9532.0,3027.3333333333335,2086.1122532915956,5405.0,1504.0,3901.0,2873.0,103.36343647538044,2981.0,2775.0,206.0,538092.0,353031.0826938613,840818.0,150300.0,690518.0
